name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"Toronto, ON, Canada",2021-01-21T00:00:00,-1.1,-8.7,-6.1,69.04,0,0,,0,0,32.7,38,200,1008.8,96.1,14.3,0,0,0,,Overcast,cloudy,"71624099999,CXVN,71697099999,CWWZ,CXTO,71265099999"
"Toronto, ON, Canada",2021-01-21T01:00:00,-0.7,-4.7,-5.7,69.34,0,0,,0,0,31.7,12.2,210,1006.9,100,16.2,0,0,0,,Overcast,cloudy,"71624099999,71432099999,71508099999,CWWZ,CXTO,71265099999"
"Toronto, ON, Canada",2021-01-21T02:00:00,-0.4,-8.4,-5,71.23,0,0,,0,0,42.8,45.4,219,1005.5,96.2,14.3,0,0,0,,Overcast,cloudy,"71624099999,CXVN,71697099999,CWWZ,CXTO,71265099999"
"Toronto, ON, Canada",2021-01-21T03:00:00,-0.1,-7.8,-4.7,71.3,0,0,,0,0,47.7,43.7,220,1004.4,93.8,14.1,0,0,0,,Overcast,cloudy,"71624099999,CXVN,71697099999,CWWZ,CXTO,71265099999"
"Toronto, ON, Canada",2021-01-21T04:00:00,-0.1,-7.6,-3.7,76.82,0,0,,0,0,37.1,41.5,219,1002.5,100,14.1,0,0,0,,Overcast,cloudy,"71624099999,71432099999,71697099999,CWWZ,CXTO,71265099999"
"Toronto, ON, Canada",2021-01-21T05:00:00,0.3,-7.3,-3.7,74.86,0,0,,0,0,36.9,43.4,229,1001.7,52.8,14.2,0,0,0,,Partially cloudy,partly-cloudy-night,"71624099999,CXVN,71697099999,CWWZ,CXTO,71265099999"
"Toronto, ON, Canada",2021-01-21T06:00:00,0.7,-6.5,-3.7,72.53,0,0,,0,0,37.9,39.7,230,1000.3,30,14.3,0,0,0,,Partially cloudy,partly-cloudy-night,"71624099999,CXVN,71697099999,CWWZ,CXTO,71265099999"
"Toronto, ON, Canada",2021-01-21T07:00:00,0.2,-3.5,-5.4,66.06,0.001,100,"rain,snow",0,0,33.5,11.6,230,999.8,88.1,16.2,5.3,0,0,,"Snow, Rain, Partially cloudy",rain,"71624099999,71432099999,71508099999,CWWZ,CXTO,71265099999"
"Toronto, ON, Canada",2021-01-21T08:00:00,0.1,-6.4,-5,68.1,0,0,,0,0,32.7,31,240,1000.3,9.7,14.3,9,0,0,,Clear,clear-day,"71624099999,CXVN,71697099999,CWWZ,F0888,CXTO,71265099999"
"Toronto, ON, Canada",2021-01-21T09:00:00,0.9,-5.5,-4.7,66.31,0,0,,0,0,31.8,31.2,230,1000.1,50,14.3,37,0.1,0,,Partially cloudy,partly-cloudy-day,"71624099999,CXVN,71697099999,CWWZ,F0888,CXTO,71265099999"
